,Reflectance,Wavelength
1458,0.23536443432819815,1808.0
1459,0.24544079883977654,1809.0
1460,0.25240986852740754,1810.0
1461,0.2590973792966131,1811.0
1462,0.25909948662131327,1812.0
1463,0.2519126055078296,1813.0
1464,0.24715753166996574,1814.0
1465,0.25178016161519906,1815.0
1466,0.2834164815594023,1816.0
1467,0.2983171758785304,1817.0
1468,0.3198384762204705,1818.0
1469,0.34075519766987394,1819.0
1470,0.3108615212995907,1820.0
1471,0.3094645238135947,1821.0
1472,0.33747852161413283,1822.0
1473,0.3653144207926565,1823.0
1474,0.4198760725739543,1824.0
1475,0.45332231160058767,1825.0
1476,0.511963689461576,1826.0
1477,0.5195856323614966,1827.0
1478,0.4115527535025153,1828.0
1479,0.4077266972352044,1829.0
1480,0.4507384764705066,1830.0
1481,0.3988826821950875,1831.0
1482,0.15140357875593136,1832.0
1483,0.10855671171968541,1833.0
1484,0.006629281987998931,1834.0
1485,-0.25702334218264383,1835.0
1486,-0.22779543339812852,1836.0
1487,-0.075588216673969,1837.0
1488,-0.547154794815128,1838.0
1489,-0.3636426759765646,1839.0
1490,-0.7981214172616241,1840.0
1491,-1.0090634247498724,1841.0
1492,-0.5841583125302865,1842.0
1493,0.07836742420789063,1843.0
1494,0.013418546569715112,1844.0
1495,0.12886102507962882,1845.0
1496,0.3246754636461134,1846.0
1497,0.6105131262314609,1847.0
1498,1.269575407656662,1848.0
1499,-0.6895812973230474,1849.0
1500,-0.16315982869429485,1850.0
1501,0.20518151605264523,1851.0
1502,0.3980669139999373,1852.0
1503,0.8508920349233638,1853.0
1504,1.1438897694241905,1854.0
1505,2.26696099360998,1855.0
1506,-1.7746027757416045,1856.0
1507,-2.204443477297127,1857.0
1508,-7.1724507537606375,1858.0
1509,-1.1146304979616204,1859.0
1510,-0.6916475914702843,1860.0
1511,-0.4031836936738412,1861.0
1512,1.7075560538011278,1862.0
1513,-0.6894490767107047,1863.0
1514,-30.144946075548585,1864.0
1515,7.366465283936773,1865.0
1516,-3.426756290456682,1866.0
1517,-3.9405904526021756,1867.0
1518,4.192707437154116,1868.0
1519,1.469174130895387,1869.0
1520,0.1165198596694191,1870.0
1521,-0.3206187020816314,1871.0
1522,-0.1761509680478423,1872.0
1523,-0.1411257803865274,1873.0
1524,-0.1469037548923004,1874.0
1525,-0.13762788916615076,1875.0
1526,-0.1371501562767943,1876.0
1527,-0.5009608963587272,1877.0
1528,-1.3699331591293122,1878.0
1529,-2.7619141837763843,1879.0
1530,-1.951888468765464,1880.0
1531,9.020223099031119,1881.0
1532,0.5780700949340284,1882.0
1533,-0.39552699106325473,1883.0
1534,-0.542757787580637,1884.0
1535,-0.486000168033897,1885.0
1536,-0.5568933899620038,1886.0
1537,-1.0832195364305877,1887.0
1538,19.696352232162962,1888.0
1539,-3.931883837280604,1889.0
1540,-3.9158244767080825,1890.0
1541,4.961260904087547,1891.0
1542,1.100932863878553,1892.0
1543,-0.1704785394043416,1893.0
1544,-1.3068599653437782,1894.0
1545,-0.6533354209777513,1895.0
1546,0.2869433294947643,1896.0
1547,0.37122960845116215,1897.0
1548,1.7324459388996314,1898.0
1549,-6.317967093549959,1899.0
1550,-1.188556574587515,1900.0
1551,-0.8059776828802332,1901.0
1552,-0.5198128016209516,1902.0
1553,0.0325625930407123,1903.0
1554,-0.002709360815498998,1904.0
1555,0.1583594023667292,1905.0
1556,0.3199749613337284,1906.0
1557,0.1521801376288599,1907.0
1558,-0.035787065495176434,1908.0
1559,-0.19006722458750067,1909.0
1560,-0.32344771617309737,1910.0
1561,-0.5126620055546904,1911.0
1562,-1.4416837394604676,1912.0
1563,-1.056111983373269,1913.0
1564,-8.007509162024146,1914.0
1565,1.2503822544032401,1915.0
1566,1.8813795975040923,1916.0
1567,0.7921246252292717,1917.0
1568,0.26252374469027484,1918.0
1569,0.06668663872582943,1919.0
1570,-0.11492035871331721,1920.0
1571,0.05549037653214322,1921.0
1572,0.18828851690825646,1922.0
1573,0.4917089590335278,1923.0
1574,0.3985450347290925,1924.0
1575,0.35966538353306743,1925.0
1576,0.26527369590710276,1926.0
1577,0.017121921153793157,1927.0
1578,-0.005211193453459147,1928.0
1579,0.04789035025572408,1929.0
1580,0.011929339808166163,1930.0
1581,0.07041859054799092,1931.0
1582,0.03753801708537192,1932.0
1583,0.07237035581161193,1933.0
1584,0.09002982779658468,1934.0
1585,0.11553787562071231,1935.0
1586,0.1670835417128654,1936.0
1587,0.25836237191253614,1937.0
1588,0.2556207635010809,1938.0
1589,0.21838847567405348,1939.0
1590,0.18059522271483405,1940.0
1591,0.16407237778275133,1941.0
1592,0.141209304590054,1942.0
1593,0.1052518752299763,1943.0
1594,0.08865213904274487,1944.0
1595,0.07880233499442969,1945.0
1596,0.05993222105867338,1946.0
1597,0.03502539015674196,1947.0
1598,0.0288443351805338,1948.0
1599,0.024147517865191984,1949.0
1600,0.009887889062510919,1950.0
1601,0.04568669870202693,1951.0
1602,0.0922497817263479,1952.0
1603,0.10037457245941724,1953.0
1604,0.10934778712963006,1954.0
1605,0.10936205907327483,1955.0
1606,0.07815116075752147,1956.0
1607,0.06934458881794775,1957.0
1608,0.06938008148895389,1958.0
1609,0.07630478891971343,1959.0
1610,0.07338877621785446,1960.0
1611,0.0699467176204551,1961.0
1612,0.06115966861567194,1962.0
1613,0.047783426568403446,1963.0
1614,0.035603944034007025,1964.0
1615,0.03277535856328916,1965.0
1616,0.03372431297094568,1966.0
1617,0.04183489413201419,1967.0
1618,0.04178390296520981,1968.0
1619,0.04044736498914428,1969.0
1620,0.041085758194545886,1970.0
1621,0.03859138524224892,1971.0
1622,0.038390977993476044,1972.0
1623,0.04375904672928692,1973.0
1624,0.04829909366153334,1974.0
1625,0.05167766218245226,1975.0
1626,0.05582372637996891,1976.0
1627,0.0544634314565065,1977.0
1628,0.04761419713442713,1978.0
1629,0.045803017997800066,1979.0
1630,0.04159122766058618,1980.0
1631,0.040899012476176715,1981.0
1632,0.043529840049874764,1982.0
1633,0.04823229135908533,1983.0
1634,0.05049693050251478,1984.0
1635,0.04848235979336165,1985.0
1636,0.04806328887426414,1986.0
1637,0.04946832426844805,1987.0
1638,0.049573805829071234,1988.0
1639,0.05132565250714253,1989.0
1640,0.05150642369487938,1990.0
1641,0.05048017960804705,1991.0
1642,0.04915006391501767,1992.0
1643,0.04563352023287522,1993.0
1644,0.04427374038356936,1994.0
1645,0.044595639854935525,1995.0
1646,0.04271921023648108,1996.0
1647,0.04260639070313016,1997.0
1648,0.04055607169044822,1998.0
1649,0.03428117633910057,1999.0
1650,0.033520323237981015,2000.0
1651,0.031717301343787384,2001.0
1652,0.02984568141895046,2002.0
1653,0.03167341836469612,2003.0
1654,0.03891179318261943,2004.0
1655,0.04138004483443598,2005.0
1656,0.042173275745562504,2006.0
1657,0.04630704601776157,2007.0
1658,0.05272509787576551,2008.0
1659,0.052690965090471144,2009.0
1660,0.05268908314346656,2010.0
1661,0.05934086434920202,2011.0
1662,0.05760446806060574,2012.0
1663,0.05777781306886386,2013.0
1664,0.058382449656105916,2014.0
1665,0.06008105721629888,2015.0
1666,0.05827613571774363,2016.0
1667,0.05375156962716483,2017.0
1668,0.053304580498799554,2018.0
1669,0.05308809316320583,2019.0
1670,0.05467695071765715,2020.0
1671,0.0593967503795174,2021.0
1672,0.06325421800944171,2022.0
1673,0.06191495937632679,2023.0
1674,0.060207562661752506,2024.0
1675,0.058817591702678355,2025.0
1676,0.05696823711990335,2026.0
1677,0.057678299705267874,2027.0
1678,0.061040000025496546,2028.0
1679,0.06290239049655913,2029.0
1680,0.06619216403279579,2030.0
1681,0.0673264653552671,2031.0
1682,0.06716682224823559,2032.0
1683,0.06733503710619104,2033.0
1684,0.0675501122111201,2034.0
1685,0.06533208457558332,2035.0
1686,0.06507479410532824,2036.0
1687,0.06582438074469402,2037.0
1688,0.06586172082740313,2038.0
1689,0.06544317482911553,2039.0
1690,0.06641226382421421,2040.0
1691,0.06912536245274865,2041.0
1692,0.06891020533894562,2042.0
1693,0.06625595914469673,2043.0
1694,0.06756455154303735,2044.0
1695,0.07015478286642898,2045.0
1696,0.0713614633945587,2046.0
1697,0.07531190390684595,2047.0
1698,0.07840313973227078,2048.0
1699,0.078156848686335,2049.0
1700,0.07473396716423199,2050.0
1701,0.07347360926419282,2051.0
1702,0.0733987605738107,2052.0
1703,0.07312468942188945,2053.0
1704,0.07225516980896707,2054.0
1705,0.07295259916937728,2055.0
1706,0.07592763308125954,2056.0
1707,0.07699656429492502,2057.0
1708,0.07743299890562313,2058.0
1709,0.07877341689653815,2059.0
1710,0.08059109003481206,2060.0
1711,0.07970333549310299,2061.0
1712,0.08119087529493978,2062.0
1713,0.08545067536706792,2063.0
1714,0.08739641222311195,2064.0
1715,0.08661889906315019,2065.0
1716,0.08512565218957321,2066.0
1717,0.08102183007457144,2067.0
1718,0.07991482339885822,2068.0
1719,0.07887711541663295,2069.0
1720,0.0777323754392066,2070.0
1721,0.07783630316468192,2071.0
1722,0.07712999297497498,2072.0
1723,0.07542388453462222,2073.0
1724,0.07506683438673746,2074.0
1725,0.07564618230807858,2075.0
1726,0.07596302850103945,2076.0
1727,0.07751997216185201,2077.0
1728,0.0772201997816647,2078.0
1729,0.0777951504805815,2079.0
1730,0.07881979855638045,2080.0
1731,0.07969416388050318,2081.0
1732,0.08034616425110433,2082.0
1733,0.0812528937190218,2083.0
1734,0.08286105194862235,2084.0
1735,0.08359953184059311,2085.0
1736,0.08404950243411259,2086.0
1737,0.08449960540634464,2087.0
1738,0.08421766761002844,2088.0
1739,0.08448624181637039,2089.0
1740,0.08585253099988187,2090.0
1741,0.08513478605085854,2091.0
1742,0.08613193324369726,2092.0
1743,0.08571982451291897,2093.0
1744,0.0860247951556417,2094.0
1745,0.08673541382764607,2095.0
1746,0.08687223901644259,2096.0
1747,0.08631702981101785,2097.0
1748,0.08687131001819817,2098.0
1749,0.08801164788521708,2099.0
1750,0.08864263530721704,2100.0
1751,0.08928772978427559,2101.0
1752,0.09044236421398442,2102.0
1753,0.09176216769046411,2103.0
1754,0.09241054617296042,2104.0
1755,0.09321457727831436,2105.0
1756,0.09457692197819825,2106.0
1757,0.09472479761582746,2107.0
1758,0.09332645067956133,2108.0
1759,0.09294336883422301,2109.0
1760,0.09235019613066887,2110.0
1761,0.09305387986352344,2111.0
1762,0.09427059909736946,2112.0
1763,0.09541463216488616,2113.0
1764,0.09835374272757562,2114.0
1765,0.09906992147647417,2115.0
1766,0.0985688237234936,2116.0
1767,0.09851931339843333,2117.0
1768,0.09680991426910167,2118.0
1769,0.09640281485214479,2119.0
1770,0.09733365182194605,2120.0
1771,0.09756367867100853,2121.0
1772,0.09781471578391515,2122.0
1773,0.09840701332245871,2123.0
1774,0.09824497139283304,2124.0
1775,0.09733848567041457,2125.0
1776,0.09747289457213074,2126.0
1777,0.098107322870651,2127.0
1778,0.09806882288465459,2128.0
1779,0.09759954461168271,2129.0
1780,0.09848961561082364,2130.0
1781,0.10003499215638574,2131.0
1782,0.10119130328380589,2132.0
1783,0.10377786532223657,2133.0
1784,0.10497651275848094,2134.0
1785,0.10492684548815913,2135.0
1786,0.10465323418269865,2136.0
1787,0.10369536057990451,2137.0
1788,0.10308866852798544,2138.0
1789,0.10279181047075783,2139.0
1790,0.10267664483911416,2140.0
1791,0.1018481817931072,2141.0
1792,0.1017643424918117,2142.0
1793,0.10219297584685304,2143.0
1794,0.10233659837282916,2144.0
1795,0.10322550429288599,2145.0
1796,0.10588205140270675,2146.0
1797,0.10709753266606586,2147.0
1798,0.10823405814444899,2148.0
1799,0.10816854839259975,2149.0
1800,0.10677056180137719,2150.0
1801,0.10613506421189164,2151.0
1802,0.10381220429322716,2152.0
1803,0.10362621351144423,2153.0
1804,0.1060842543015369,2154.0
1805,0.10717251009840228,2155.0
1806,0.1086957110219886,2156.0
1807,0.10951452920961482,2157.0
1808,0.11093920136609323,2158.0
1809,0.10993877751112571,2159.0
1810,0.11025087228299232,2160.0
1811,0.11143324548073617,2161.0
1812,0.11164514503266817,2162.0
1813,0.11127220532646113,2163.0
1814,0.11102064091508033,2164.0
1815,0.11064065203005005,2165.0
1816,0.11001568250168971,2166.0
1817,0.10839683469272479,2167.0
1818,0.10825755680728491,2168.0
1819,0.10891979473573324,2169.0
1820,0.10916630321169231,2170.0
1821,0.11046560584827116,2171.0
1822,0.11109171493266407,2172.0
1823,0.11122406650048408,2173.0
1824,0.11065400931127269,2174.0
1825,0.11052513348393003,2175.0
1826,0.11162986987359007,2176.0
1827,0.11315486476548811,2177.0
1828,0.11422092963988716,2178.0
1829,0.11493125842850754,2179.0
1830,0.11552674587258628,2180.0
1831,0.11600526008411818,2181.0
1832,0.11563154814029004,2182.0
1833,0.116437077185138,2183.0
1834,0.118078378547558,2184.0
1835,0.11889472291574624,2185.0
1836,0.11959067864915708,2186.0
1837,0.12052694101111915,2187.0
1838,0.12163654243170942,2188.0
1839,0.12233465177184233,2189.0
1840,0.12374067156811894,2190.0
1841,0.1238432979692076,2191.0
1842,0.12211038417312164,2192.0
1843,0.1208840128924199,2193.0
1844,0.11836573643953932,2194.0
1845,0.11798047713786997,2195.0
1846,0.11674917710843631,2196.0
1847,0.11717402841705482,2197.0
1848,0.11762040192167196,2198.0
1849,0.11859673572237639,2199.0
1850,0.11984872048558551,2200.0
1851,0.12254902912163862,2201.0
1852,0.12290589996185775,2202.0
1853,0.12221230631270116,2203.0
1854,0.12227898927964972,2204.0
1855,0.12118866721361883,2205.0
1856,0.12094670739834992,2206.0
1857,0.12194412253504835,2207.0
1858,0.12216193301391369,2208.0
1859,0.12067613039522541,2209.0
1860,0.12137063998945181,2210.0
1861,0.12471774015356249,2211.0
1862,0.1257132763553564,2212.0
1863,0.12702038192679752,2213.0
1864,0.12769058623596638,2214.0
1865,0.12680567829381464,2215.0
1866,0.12469287917303455,2216.0
1867,0.12428553125822724,2217.0
1868,0.12358261971153091,2218.0
1869,0.12261320188590814,2219.0
1870,0.12168553092068023,2220.0
1871,0.12131379759820145,2221.0
1872,0.12101048665490025,2222.0
1873,0.12164314154720296,2223.0
1874,0.12357371790141869,2224.0
1875,0.12397413784304213,2225.0
1876,0.1245132090805649,2226.0
1877,0.12455123851364343,2227.0
1878,0.12288073091941062,2228.0
1879,0.12271248790877007,2229.0
1880,0.12389650454339421,2230.0
1881,0.12352640845345579,2231.0
1882,0.12255472329306709,2232.0
1883,0.12224986184589869,2233.0
1884,0.12247335498718005,2234.0
1885,0.12100920894451067,2235.0
1886,0.11777250898574883,2236.0
1887,0.11655210482084492,2237.0
1888,0.11568206874656653,2238.0
1889,0.11320910093383486,2239.0
1890,0.11423660500412156,2240.0
1891,0.11618428536371286,2241.0
1892,0.11443822761505384,2242.0
1893,0.11395322592296508,2243.0
1894,0.11278608498103701,2244.0
1895,0.11073687572665963,2245.0
1896,0.10905461878916192,2246.0
1897,0.10590437205666403,2247.0
1898,0.10644493407884846,2248.0
1899,0.10954607311153008,2249.0
1900,0.11032854283923693,2250.0
1901,0.11359780869125004,2251.0
1902,0.11434438138554712,2252.0
1903,0.11200929250971654,2253.0
1904,0.1106849952065605,2254.0
1905,0.10798747195332223,2255.0
1906,0.10765295663237394,2256.0
1907,0.1089870981827111,2257.0
1908,0.10878022536847755,2258.0
1909,0.11038364698741888,2259.0
1910,0.1107555893319452,2260.0
1911,0.10856806772853106,2261.0
1912,0.1067426695395881,2262.0
1913,0.10493229758116406,2263.0
1914,0.10277777815177173,2264.0
1915,0.10211619984644532,2265.0
1916,0.10274673226525344,2266.0
1917,0.1038634084120822,2267.0
1918,0.10575606190273362,2268.0
1919,0.10634851644965185,2269.0
1920,0.1034549136562731,2270.0
1921,0.10055147552993264,2271.0
1922,0.10134991157159288,2272.0
1923,0.09970631208988007,2273.0
1924,0.09706329903753169,2274.0
1925,0.09647141508098304,2275.0
1926,0.09483878206209294,2276.0
1927,0.09592536729508404,2277.0
1928,0.10197471952421348,2278.0
1929,0.10202076853585954,2279.0
1930,0.10070217497871409,2280.0
1931,0.09883067970611135,2281.0
1932,0.09152313786354425,2282.0
1933,0.09016849012787088,2283.0
1934,0.09345080193125832,2284.0
1935,0.09265153644781866,2285.0
1936,0.09214746487863441,2286.0
1937,0.09031760143740397,2287.0
1938,0.0839610321619776,2288.0
1939,0.08184056621153404,2289.0
1940,0.08194879293010454,2290.0
1941,0.08262784096897652,2291.0
1942,0.0845424183078514,2292.0
1943,0.08840085998184223,2293.0
1944,0.0928646450446418,2294.0
1945,0.09340898095996589,2295.0
1946,0.09425034671232492,2296.0
1947,0.09516157662015245,2297.0
1948,0.09336959487649892,2298.0
1949,0.09369468837778192,2299.0
1950,0.09738132997429186,2300.0
1951,0.09604660911066502,2301.0
1952,0.0938457977938083,2302.0
1953,0.09296255400355878,2303.0
1954,0.0877295233048124,2304.0
1955,0.08530565810496622,2305.0
1956,0.08797736488187344,2306.0
1957,0.08658669862267017,2307.0
1958,0.08616786015511897,2308.0
1959,0.08728926059495397,2309.0
1960,0.08861717900321825,2310.0
1961,0.08807593419369239,2311.0
1962,0.08967702004261553,2312.0
1963,0.09398061661169724,2313.0
1964,0.09702746974047136,2314.0
1965,0.10218975974424949,2315.0
1966,0.10240439203981307,2316.0
1967,0.10060354635797251,2317.0
1968,0.09759356618193944,2318.0
1969,0.08627623412364746,2319.0
1970,0.08369652113220244,2320.0
1971,0.08713065713716214,2321.0
1972,0.08541602007647649,2322.0
1973,0.0859787691797677,2323.0
1974,0.08529326271225907,2324.0
1975,0.07949182979353517,2325.0
1976,0.07788128083182015,2326.0
1977,0.0789405671113084,2327.0
1978,0.07800371880909464,2328.0
1979,0.07706744149573802,2329.0
1980,0.07879936744096531,2330.0
1981,0.08134385536127152,2331.0
1982,0.08440369893461158,2332.0
1983,0.08876726325051792,2333.0
1984,0.09004936705109169,2334.0
1985,0.08917190644145681,2335.0
1986,0.0900513423982771,2336.0
1987,0.08886059827547768,2337.0
1988,0.08380561371628757,2338.0
1989,0.07740961578539064,2339.0
1990,0.06667223898085299,2340.0
1991,0.06661191011939886,2341.0
1992,0.06985495474905523,2342.0
1993,0.06766797890435916,2343.0
1994,0.07465377297488082,2344.0
1995,0.07590879009482764,2345.0
1996,0.0725661487017595,2346.0
1997,0.07992576930163675,2347.0
1998,0.08998624469334474,2348.0
1999,0.09945987037903442,2349.0
2000,0.09973265337084629,2350.0
2001,0.0908811137440917,2351.0
2002,0.08537084941109334,2352.0
2003,0.07576510131749085,2353.0
2004,0.06617951244550814,2354.0
2005,0.06795453090021167,2355.0
2006,0.06807733999472515,2356.0
2007,0.05904666072088822,2357.0
2008,0.05515888968823236,2358.0
2009,0.04499439580637647,2359.0
2010,0.03443651520421309,2360.0
2011,0.039590287214078236,2361.0
2012,0.04448178742280309,2362.0
2013,0.05149527461763464,2363.0
2014,0.06858559034749183,2364.0
2015,0.07169017324400187,2365.0
2016,0.06739086815126402,2366.0
2017,0.07377099079866693,2367.0
2018,0.08306643690130235,2368.0
2019,0.08189457576944602,2369.0
2020,0.07793284595854959,2370.0
2021,0.07328366939836047,2371.0
2022,0.05391182552828625,2372.0
2023,0.049734113485481964,2373.0
2024,0.06220098232055159,2374.0
2025,0.06757460338660251,2375.0
2026,0.0763081514987497,2376.0
2027,0.07340763203011731,2377.0
2028,0.0615216189420499,2378.0
2029,0.05334406749178546,2379.0
2030,0.03477699364820453,2380.0
2031,0.028921942586615314,2381.0
2032,0.031887679391945804,2382.0
2033,0.03401532340098587,2383.0
2034,0.040480025449291336,2384.0
2035,0.046612931037654536,2385.0
2036,0.0622130686587614,2386.0
2037,0.0661702530172319,2387.0
2038,0.06031595008914032,2388.0
2039,0.05769572288118447,2389.0
2040,0.05050604252658502,2390.0
2041,0.04422712036607183,2391.0
2042,0.044439728193271064,2392.0
2043,0.037945544027672355,2393.0
2044,0.01663426599416406,2394.0
2045,0.01416273345385238,2395.0
2046,0.01625920231582762,2396.0
2047,0.01663672976477775,2397.0
2048,0.04034026329344394,2398.0
2049,0.048952826461087014,2399.0
2050,0.038926986617383426,2400.0
2051,0.05354782671656909,2401.0
2052,0.06151520532338005,2402.0
2053,0.042379942793450365,2403.0
2054,0.049625597895390866,2404.0
2055,0.0504467988967756,2405.0
2056,0.04718116330610963,2406.0
2057,0.04885018038890945,2407.0
2058,0.037692684179701265,2408.0
2059,0.04486572023344428,2409.0
2060,0.06082442316530109,2410.0
2061,0.07859851822193195,2411.0
2062,0.10177424870610387,2412.0
2063,0.08836033721632065,2413.0
2064,0.08556200633677362,2414.0
2065,0.09532093283099935,2415.0
2066,0.06121280851975232,2416.0
2067,0.040348138767671425,2417.0
2068,0.047283245026691074,2418.0
2069,0.04163615965197909,2419.0
2070,0.06901954201448371,2420.0
2071,0.0936114058235099,2421.0
2072,0.09513894835799108,2422.0
2073,0.09159125046506332,2423.0
2074,0.06998119935671518,2424.0
2075,0.04668291576374159,2425.0
2076,0.011615214638540598,2426.0
2077,0.0166510181267222,2427.0
2078,0.028529471242318787,2428.0
2079,0.037569842441866286,2429.0
2080,0.08102411989768492,2430.0
2081,0.06253938754330189,2431.0
2082,0.021377417186125916,2432.0
2083,-0.0038422107114014677,2433.0
2084,-0.04871987854166363,2434.0
2085,-0.05547775327912368,2435.0
2086,-0.05455280726406309,2436.0
2087,-0.0436164619187167,2437.0
2088,-0.00932640288450376,2438.0
2089,-0.018726183967145354,2439.0
2090,-0.08312986752326687,2440.0
2091,-0.08164007495211617,2441.0
2092,-0.07014504245848599,2442.0
2093,-0.07548515078034895,2443.0
2094,-0.02421813602186408,2444.0
2095,-0.05332166841397717,2445.0
2096,-0.1339949973117396,2446.0
2097,-0.048824122815535324,2447.0
2098,0.09695654446953644,2448.0
2099,0.13455515751967415,2449.0
2100,0.09467872297914585,2450.0
2101,0.08005406485329589,2451.0
2102,-0.0018240726708492136,2452.0
2103,-0.07112125112801514,2453.0
2104,-0.02604968319172772,2454.0
2105,-5.033882454836063e-05,2455.0
2106,-0.001694127278939589,2456.0
2107,0.0561296798897698,2457.0
2108,0.00274001955219558,2458.0
2109,-0.05676961892029824,2459.0
2110,-0.02251906874462041,2460.0
2111,-0.007432016463735138,2461.0
2112,0.05113929176575309,2462.0
2113,0.013544597820872431,2463.0
2114,0.0440961267420252,2464.0
2115,0.043636960365341884,2465.0
2116,0.11493912579326822,2466.0
2117,0.6483586673168823,2467.0
2118,0.6400993127669077,2468.0
2119,8.854730379653287,2469.0
2120,1.5908713443008304,2470.0
2121,0.2137285964469606,2471.0
2122,0.07548798517817748,2472.0
2123,0.10555866553038823,2473.0
2124,-0.14264335285445137,2474.0
2125,-0.28708135503358057,2475.0
2126,-0.36101186849527067,2476.0
2127,-0.7357131655923256,2477.0
2128,-0.3895903516742033,2478.0
2129,-0.2934094117903978,2479.0
2130,-0.31788855974020747,2480.0
2131,0.2151013172354866,2481.0
2132,0.5306360221352519,2482.0
2133,-5.057080982919044,2483.0
2134,-1.0254580725528186,2484.0
2135,-1.5219852905714615,2485.0
2136,-0.9141568679149715,2486.0
2137,-0.7197031410848367,2487.0
2138,3.530802516205202,2488.0
2139,0.47767975279700003,2489.0
2140,-0.09248250958176378,2490.0
2141,-0.36592605349913165,2491.0
2142,-0.894862764462171,2492.0
2143,-9.588269351989243,2493.0
2144,1.0996345592244927,2494.0
2145,0.19331567027973243,2495.0
2146,0.27787576932686603,2496.0
2147,0.7725090812789988,2497.0
2148,0.5401155336825066,2498.0
2149,0.989289199518501,2499.0
2150,0.734579366375087,2500.0
